PassengerID,PassengerName,MemberStatus,Age,Gender,AmountSpent,Address,ContactTitle,Phone
10032,Ian Teh,Bronze,,M,118.90,501 Jurong West Street 51 01-263 Singapore 640501,Mr,91416488
10033,Roger Son,Gold,,M,726.80,391 Orchard Road 05-01 Ngee Ann City Singapore 238872,Mr,92056909
10034,Russell Tan,Bronze,,M,123.50,133 New Bridge Road#09-09 Singapore 59413,Mr,86490595
10035,Joseph Lei,Bronze,,M,213.40,42 Sungei Kadut Loop Singapore 729474,Mr,93063409
10036,Pauline Goh,Gold,,F,1274.20,3 Mount Elizabeth Unit #01-01/02/06 Mount Elizabeth Medical Centre Singapore 228510,Ms,88842787
10037,Hubert Hu,Silver,,M,460.90,"653 Jalan Tenaga ,12-58 S Singapore 410653",Mr,90664462
10038,Iris Cai,Bronze,,F,165.50,1 Goldhill Plaza #02-43 Goldhill Plaza Singapore 308899,Ms,92997171
10039,Roy Kwong,Bronze,,M,268.00,"194 Pandan Loop, #07-10 Singapore 128383",Mr,91396628
10040,Andrew Chan,Bronze,,M,20.90,29 Havelock Road 01-651 Singapore 160029,Mr,89122488
10041,Kyle Chou,Bronze,,M,55.10,568 Ganges Ave #01-108 Singapore 160568,Mr,89673549
10042,Jack Koo,Silver,,M,447.50,39 Sg Kadut St 6 Singapore 728870,Mr,89624589
10043,Stacey Han,Bronze,,F,133.20,6 Battery Road #37-03 6 Battery Road Singapore 49909,Ms,92578261
10044,Divya Yadav,Bronze,,F,23.70,2 Handy Rd 08-04 Singapore 229233,Ms,89612901
10045,Christine Liao,Silver,,F,230.90,Hdb-Woodlands 2 Marsiling Drive #01-09 Singapore 730002,Ms,86528785
10046,Horace Ni,Silver,,M,312.20,14 14 Scotts Road 04-83 Far East Plaza Singapore 228213,Mr,86693786
10047,Dylan Quek,Gold,,M,517.50,160 Changi Rd #03-21 Singapore 419728,Mr,92567591
10048,Alison Ye,Bronze,,F,124.10,180 Tagore Lane  Singapore 787580,Ms,93864453
10049,Eva Chang,Bronze,,F,204.80,335 Smith St #02-203 Singapore 50335,Ms,92295291
10050,Rita Kim,Bronze,,F,164.00,120 Cantonment Road 03-00 Singapore 89760,Ms,87584837
10051,Sharon Han,Bronze,,F,208.20,Spirits And Tobacco 151 Pasir Panjang Road 02-18 Pasir Panjang Distripark Singapore 118480,Ms,87818079
10052,Marc Win,Gold,,M,816.90,1 Sophia Road #05-05 Peace Centre Singapore 228149,Mr,88314525
10053,Eleanor Mak,Gold,,F,935.60,60 Robertson Quay #01-14 The Quayside  Singapore 238252,Ms,88387585
10054,Andrew Huang,Gold,,M,1351.40,130 Jurong East Street 13 04-233 Singapore 600130,Mr,89784881
10055,Helen Yi,Silver,,F,664.90,"190 Middle Road ,19-05 Fortune Centre Singapore 188979",Ms,93896120
10056,Charlie Xing,Silver,,M,616.90,123 Bukit Merah Lane 1 #03-96 Alexandra Village Singapore 150123,Mr,88703012
10057,Martyn Liao,Gold,,M,1049.90,"391-B Orchard Rd., ,13-01 Singapore 238874",Mr,92020394
10058,Dominic Wu,Bronze,,M,231.30,4 Tampines Central 5 #B1-13 Tampines Mall  Singapore 529510,Mr,90009556
10059,Emily Cheng,Bronze,,F,21.70,107 Tampines Rd Singapore 535129,Ms,91547137
10060,Rosemary Soo,Bronze,,F,191.00,808 French Rd #01-171 Singapore 200808,Ms,91390811
10061,Janet Chang,Gold,,F,882.30,10 North Bridge Rd #02-5125 Singapore 190010,Ms,89571883
10062,Benjamin Fok,Silver,,M,294.90,231 Lavender St  Singapore 338779,Mr,89386208
10063,Ashleigh Sim,Silver,,F,530.40,9 Wan Lee Road Singapore 627941,Ms,88019531
10064,Pamela Cho,Bronze,,F,127.50,"Textile Centre #10-11, 200 Jalan Sultan, Singapore 199018",Ms,94003107
10065,Sally Lew,Bronze,,F,160.40,Imm Building 2 Jurong East Street 21 #03-92 Singapore 609601,Ms,88768963
10066,Philip Zhang,Bronze,,M,14.90,Blk 687 Jurong West Central 1 Singapore 640687,Mr,93745185
10067,Kirsty Han,Silver,,F,490.30,194 Pandan Loop 06-09 Pantech Ind Complex Singapore 128383,Ms,88242141
10068,Henry Shi,Bronze,,M,111.40,"Blk 523 ,10-723 Bukit Batok St 52 Singapore 650523",Mr,93468584
10069,Florence Pak,Silver,,F,404.40,123 Genting Lane #05-04 Yenom Industrial Building Singapore 349574,Ms,93978561
10070,Jonathan Qin,Bronze,,M,3.70,930 Yishun Ave 2 #B1-18 Northpoint Shopping Centre Singapore 769098,Mr,86482280
10071,Brian Song,Silver,,M,318.20,20 Benoi Sector Jurong Town Singapore 629852,Mr,89102244
10072,Gloria Li,Bronze,,F,125.30,151 Chin Swee Rd #12-06 Singapore 169876,Ms,90713490
10073,Kevin Yin,Bronze,,M,282.40,9 Kaki Bukit Rd 2 #01-09 Singapore 417842,Mr,86540198
10074,Lesley Tan,Gold,,F,709.40,"1003 Bukit Merah Central, #05-35 Technopreneur Centre, Singapore 159836",Ms,93133718
10075,Barbara Soo,Silver,,F,651.70,9 Jalan Seh Chuan Singapore 598415,Ms,91730565
10076,Reece Lei,Gold,,M,1154.30,Hdb Kallang Bahru 68 Geylang Bahru #01-3201 Singapore 330068,Mr,93981578
10077,Mark He,Gold,,M,786.40,151 Chin Swee Road #14-01 Manhattan House Singapore 169876,Mr,90797343
10078,Blanche Cheng,Silver,,F,434.30,Loyang Point 258 Pasir Ris Street 21 #03-311 Singapore 510258,Ms,86311040
10079,Pauline Yim,Bronze,,F,25.20,123 Genting Lane #07-01 Singapore 349574,Ms,92725656
10080,Frances Quan,Bronze,,F,103.20,Grand Building 17 Phillip Street #07-00 Singapore 48695,Ms,91769398
10081,Teresa Hang,Gold,,F,1384.60,Blk 611 Hougang Ave 8 01-K1 Singapore 530611,Ms,90664514
10082,Russell Hao,Gold,,M,1068.10,20 Ang Mo Kio Industrial Park 2a 02-02 Singapore 567761,Mr,91531226
10083,Valerie Xiao,Bronze,,F,292.90,90 Cecil Street 10-02 Singapore 69531,Ms,89990732
10084,Margaret Sha,Bronze,,F,130.90,"Blk 32 New Market Road, #03-1246 Singapore 50032",Ms,88462112
10085,Percy Win,Bronze,,M,174.00,14 Rochdale Rd Singapore 535817,Mr,87069720
10086,Gary Ng,Silver,,M,390.50,1 Park Road #01-K95c People's Park Complex Singapore 59108,Mr,89881780
10087,Ann Lau,Bronze,,F,55.50,16 Sin Ming Walk #03-07 Singapore 575568,Ms,86971426
10088,Elaine Seng,Gold,,F,1357.50,"6 Raffles Quay, #14-01 Singapore 48580",Ms,90137313
10089,Caroline Tong,Silver,,F,667.50,2022 Bukit Batok Street 23 01-166 Bukit Batok Ind Park A Singapore 659527,Ms,93255792
10090,Daisy Tai,Silver,,F,409.70,"Blk 358 Woodlands Avenue 5, #04-380 Singapore 730358",Ms,89072594
10091,Agnes Huang,Bronze,,F,252.00,514 Chye Chee St Bedok Industrial Estate Singapore 469029,Ms,91387421
10092,Kenneth Zhong,Bronze,,M,56.20,2021 Bukit Batok Street 23 02-180 Singapore 659526,Mr,91713140
10093,Abbie Yeung,Bronze,,F,120.50,No.260 Orchard Road #B1-04 The Heeren Singapore 238855,Ms,88092614
10094,Robert Lui,Silver,,M,369.90,3 Jalan Lengkok Sembawang Singapore 759196,Mr,93514541
10095,Sidney You,Silver,,M,695.90,11 Collyer Quay 18-01 The Arcade Singapore 49317,Mr,90556503
10096,Alexander Lin,Bronze,,M,70.60,112 East Coast Road B2-07 Katong Mall Singapore 428802,Mr,91099034
10097,Rose Siu,Silver,,F,338.80,21 Jalan Melati Singapore 368907,Ms,89701938
10098,Jacqueline Sheng,Bronze,,F,264.00,921 Upper Bukit Timah Road Khek Association Building Singapore 678202,Ms,91968016
10099,Paul Mai,Silver,,M,323.30,Hougang Green Shopping Centre 21 Hougang Street 51 #01-51 Singapore 538719,Mr,88944624
10100,Iris Gan,Gold,,F,1165.10,180 Orchard Road #02-00 Peranakan Place Singapore 238846,Ms,90776735
10101,Sean Qiu,Bronze,,M,160.40,"1 Yishun Street 23, #03-03, Ys-One Singapore 768441",Mr,91249903
10102,Martin Chee,Gold,,M,791.00,828 Tampines St 81 #01-264 Singapore 520828,Mr,87235337
10103,Robert Yao,Bronze,,M,167.60,18 Kaki Bukit Road 3 Singapore 415978,Mr,90300088
10104,Simon Neo,Silver,,M,692.70,74 Commonwealth Drive 01-465 Singapore 140074,Mr,93713051
10105,Kailash Bhagat,Gold,,M,1319.90,38 Shelford Road 01-03 Singapore 288431,Mr,92883860
10106,Marian Tan,Gold,,F,584.00,2 Kwong Min Road Singapore 628705,Ms,86738150
10107,Vera Pok,Bronze,,F,274.30,192 Pandan Loop #04-10 Pantech Industrial Complex Singapore 128381,Ms,89750268
10108,Paige Win,Silver,,F,464.60,45 Kallang Pudding Road 08-02 Alpha Building Singapore 349317,Ms,89731253
10109,Antony Lan,Silver,,M,358.00,1016 Geylang East Avenue 3 03-143 Singapore 389731,Mr,86522973
10110,Julian Mo,Bronze,,M,270.80,"25, Claymore Rd #09-03 Singapore 229543",Mr,92156535
10111,Mathew Fong,Bronze,,M,215.60,337 Bt Batok St 34 #07-08 Singapore 650337,Mr,90251110
10112,Trevor Zhou,Gold,,M,879.00,6 Ubi Road 1 Singapore 408726,Mr,92679748
10113,Linda Lau,Gold,,F,516.20,"Blk 217 Choa Chu Kang Central, 04-220 Singapore 680217",Ms,90544521
10114,Constance Tsui,Bronze,,F,297.40,"Blk 333 Kreta Ayer Road, #01-21 Singapore 80333",Ms,88080593
10115,Terence Chiu,Bronze,,M,133.80,9 Raffles Boulevard #01-00 Millenia Walk (Service Desk) Singapore 39596,Mr,87205850
10116,Charles He,Silver,,M,342.80,"200 Upper Thomson Road, #01-01 Singapore 574424",Mr,90761970
10117,Reginald Pang,Gold,,M,843.20,200 Pandan Loop 08-03 Pantech 21 Singapore 128388,Mr,92706175
10118,Scott Zhong,Silver,,M,547.00,31 Penjuru Lane Singapore 609198,Mr,90521623
10119,Richard Qi,Gold,,M,1409.20,8 Lor 7 Toa Payoh #01-283 Singapore 310008,Mr,89159871
10120,Kenneth Liu,Silver,,M,232.00,"Blk 970 Hougang Ave 9 St 91 Level 2 St 91, Hougang Singapore 530970",Mr,92116715
10121,Doris Wu,Silver,,F,570.30,3 Temasek Ave #32-02 Singapore 39190,Ms,93841612
10122,Ethel Hong,Bronze,,F,211.90,1 Normanton Park #04-159 Singapore 118998,Ms,88628459
10123,Derek Jin,Bronze,,M,77.60,304 Orchard Rd 06-48 Singapore 238863,Mr,92158531
10124,Joyce Ho,Gold,,F,517.40,950 Old Choa Chu Kang Road Columbarium Complex Singapore 699816,Ms,92179668
10125,Isabella Hong,Bronze,,F,184.50,"Vivocity, 1 Harbourfront Walk, #02-48 Singapore 98585",Ms,90823989
10126,Matthew Feng,Gold,,M,1240.10,"Blk 1002 Eunos Ave 8, 04-56 Singapore 409497",Mr,92850376
10127,Patricia Tian,Gold,,F,1364.60,767 Geylang Road Singapore 389664,Ms,93996080
10128,Cynthia Zhou,Gold,,F,1454.40,"140 Upper Bukit Timah Road, #03-02 Singapore 588176",Ms,89713357
10129,Shankar Goda,Gold,,M,731.20,Ban Guan Park 5 Greenleaf Avenue Singapore 279587,Mr,93461585
10130,Joan Song,Gold,,F,1482.00,48 Serangoon Road 01-23 Singapore 217959,Ms,90661870
10131,Neil Wu,Gold,,M,658.60,"400 Orchard Road, #1 Singapore 238875",Mr,88591566
10132,Brian Seow,Silver,,M,594.90,5 Depot Road #05-06 Tower B Defence Technology Towres Singapore 109681,Mr,87329662
10133,Ivan Jong,Bronze,,M,237.40,"10 Anson Road 33-17, International Plaza, Singapore 79903",Mr,87261693
10134,Onkar Bhattacharyya,Gold,,M,1425.90,422 Hougang Ave 6 Singapore 530422,Mr,87681264
10135,Hazel Kim,Gold,,F,1006.20,3 Temasek Boulevard #01-052 Suntec City Mall Singapore 38983,Ms,86799191
10136,Lawrence Yan,Bronze,,M,188.50,297 Tanjong Katong Road Singapore 437080,Mr,87106058
10137,Stanley Zhong,Silver,,M,358.50,"Blk 105 Ang Mo Kio Avenue 4, #06-194 Singapore 560105",Mr,92360423
10138,Gemma Pang,Gold,,F,1355.90,Peace Centre 1 Sophia Road #05-19 Singapore 228149,Ms,92502865
10139,Pran Chahal,Silver,,M,664.30,18 Boon Lay Way #03-113 Tradehub 21  Singapore 609966,Mr,88372521
10140,Glen Kum,Silver,,M,278.70,9 Jurong Town Hall Road #01-29 Ihub Singapore 609431,Mr,89712459
10141,Timothy Tang,Bronze,,M,126.60,"902 East Coast Parkway, Big Splash (Pool Side) Aquatic Complex, Singapore 449874",Mr,93524184
10142,Theresa Cho,Silver,,F,680.20,Blk 531a Upper Cross Street 03-102 Hong Lim Complex-Blk 531a Singapore 51531,Ms,92594112
10143,Rhiannon Koh,Bronze,,F,215.60,8 Loyang Drive Singapore 508939,Ms,92284679
10144,Anthony Luo,Bronze,,M,48.70,10 Anson Rd #11-06 Singapore 79903,Mr,88368353
10145,Frances Zhang,Bronze,,F,160.60,11 Ubi Crescent Ubi Techpark Singapore 408573,Ms,87919747
10146,Sai Merchant,Gold,,M,611.20,"111 North Bridge Road B1-07d, Peninsula Plaza Singapore 179098",Mr,86954344
10147,Roy Liang,Silver,,M,638.60,Ang Mo Kio St.23 Singapore 248152,Mr,88035344
10148,Cheryl Feng,Gold,,F,1198.00,5001 Beach Rd 03-47 Singapore 199588,Ms,91211544
10149,Edith Zhang,Bronze,,F,66.90,483 Segar Rd #11-338 Singapore 670483,Ms,92897149
10150,Marian Su,Bronze,,F,121.70,31 Pandan Road Singapore 609278,Ms,91288192
10151,Maria Low,Bronze,,F,100.60,33 Borthwick Drive Singapore 559536,Ms,91626782
10152,Hilda Fang,Silver,,F,654.60,Aia Alexandra 371 Alexandra Road #02-15 Singapore 159963,Ms,89046303
10153,Adam Kwee,Silver,,M,659.50,15 Cedar Ave Singapore 349700,Mr,90417244
10154,Shaun Gan,Silver,,M,663.90,3 Church St #14-02/04 Samsung Hub  Singapore 49483,Mr,86775741
10155,Alexander Chao,Gold,,M,508.80,1 Bt Batok Central Link #B1-06 West Mall  Singapore 658713,Mr,87124608
10156,Doreen Sim,Gold,,F,563.50,30 Marsiling Industrial Estate Road 5 03-02 Singapore 739211,Ms,86634314
10157,Frances Tun,Bronze,,F,138.50,"59 Ubi Ave 1, ,05-13 Singapore 408938",Ms,92229256
10158,Gwendoline Liew,Bronze,,F,263.30,Hdb Jurong 326 Jurong East Street 31 #01-120 Singapore 600326,Ms,92570865
10159,Jessie Pei,Silver,,F,553.10,10 Anson Road #25-07/08 International Plaza Singapore 79903,Ms,86204308
10160,Sarah Chang,Bronze,,F,45.20,"21, Kaki Bt Viewkaki Bukit Techpark Ii Singapore 415957",Ms,88671523
10161,Hazel Kong,Silver,,F,676.20,161 Pasir Panjang Road 01-08 Pasir Panjang Distripark Singapore 118497,Ms,93796310
10162,Glenn Wei,Silver,,M,253.50,200 Jalan Sultan 08-02 Textile Centre Singapore 199018,Mr,88912892
10163,Sheila Yin,Gold,,F,1071.30,10 Admiralty Street 03-11 Northlink Singapore 757695,Ms,89242349
10164,Patrick Tong,Bronze,,M,187.10,Golden Sultan Plaza 100 Jalan Sultan #03-31 Singapore 199001,Mr,90895745
10165,Rajesh Chakraborty,Bronze,,M,36.20,97 Pemimpin Pi Singapore 576094,Mr,92195222
10166,George Leung,Silver,,M,553.10,"201 Tanjong Rhu Road, #03-15 Singapore 436917",Mr,92863016
10167,Roy Ma,Gold,,M,715.10,30 Cecil St #28-01 Prudential Tower  Singapore 49712,Mr,86636796
10168,Peter Chang,Gold,,M,1037.00,511 Bt Batok St 52 #08-199 Singapore 650511,Mr,86015254
10169,Sophie Xue,Bronze,,F,115.20,21 Toh Guan Road East #05-06 Toh Guan Ctr Singapore 608609,Ms,93284909
10170,Hilda Fung,Bronze,,F,187.80,2 Kallang Pudding Road 05-11 Mactech Industrial Building Singapore 349307,Ms,89896156
10171,Karl Sze,Gold,,M,983.40,"9 Pasir Panjang Road, Wholesale Centre Singapore 110009",Mr,93481095
10172,Declan Tu,Gold,,M,614.70,20 Kramat Lane #04-04 United Hse  Singapore 228773,Mr,92312903
10173,Mirza Atwal,Silver,,F,468.60,Hdb Tampines 214 Tampines Street 23 #06-65 Singapore 520214,Ms,86626945
10174,Caroline Kong,Gold,,F,817.20,Hdb-Bukit Merah 7 Everton Park #01-01 Singapore 80007,Ms,91114160
10175,Margery Shin,Gold,,F,1271.10,2 Clementi Loop 04-01 Logis Hub Clementi Singapore 129809,Ms,93803336
10176,Henry Ow,Silver,,M,698.40,371 Beach Road 07-01 Keypoint Singapore 199597,Mr,92324696
10177,Ruby Lam,Bronze,,F,126.20,11 Tuas Avenue 10 Singapore 639135,Ms,90083725
10178,Elizabeth Won,Silver,,F,498.70,"Blk 3006, Ubi Road, #04-366 Singapore 407800",Ms,87690275
10179,Ivy Jain,Silver,,F,463.50,1 Sophia Road #05-05 Peace Centre Singapore 228149,Ms,92165653
10180,Mahavir Sehgal,Gold,,M,1213.00,37 Kreta Ayer Rd  Singapore 89001,Mr,87228118
10181,Geraldine Pan,Bronze,,F,38.90,"726 Clementi West Street 2 #01-151 , S Singapore 120726",Ms,91115747
10182,Connor Mao,Gold,,M,1095.50,"9 Jurong Town Hall Rd, 02-15 Ihub Singapore 609431",Mr,88551521
10183,Diana Tay,Gold,,F,562.40,80 Robinson Road 80 Robinson Road #17-01b Singapore 68898,Ms,87260569
10184,Terence Cho,Gold,,M,618.30,12 Tuas West Road Singapore 638378,Mr,86270627
10185,Ruth Xin,Silver,,F,329.50,111 Somerset Road #02-03 Power Building Singapore 238164,Ms,89174450
10186,Brenda Sha,Bronze,,F,174.50,605 Hougang Ave 4 #12-181 Singapore 530605,Ms,88139902
10187,Gladys Che,Bronze,,F,116.60,54 Serangoon North Ave 4 #06-72 Cyberhub North Singapore 555854,Ms,93056357
10188,Brenda Ong,Gold,,F,730.50,246 Macpherson Road 07-01 Betime Building Singapore 348578,Ms,93342690
10189,Denis Fong,Bronze,,M,290.00,11 Defu Lane 9 Singapore 539253,Mr,93378188
